stage,Cardiomyocyte,Endothelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0.96,0.32,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0.55,0,1.09,12.03,0.55,0,1.09,1.64,1.09,0.55,0,0,0,0.55,0.55
