stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0,290.13,948.05,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,6.42,1.07,237.49,12.84,2.14,0,0,0,1.07,0,0,0,0,0,3.21,121.96,110.19,86.65,0,1.07,0,0,46,49.21,0,0,98.42,0,0,12.84,0,0,19.26,0,0,0
21Day,14.72,2.68,1703.95,1.34,17.4,0,30.79,0,4.02,1.34,2.68,5.35,64.25,2.68,24.09,651.87,81.65,104.41,0,0,26.77,0,45.51,30.79,0,0,14.72,24.09,0,0,5.35,5.35,8.03,0,0,167.32
3Month,0,0.64,139.82,0,0,0.96,2.88,1.28,7.68,0,2.88,4.8,2.88,1.28,1.28,14.4,12.48,9.92,2.88,0,0.32,1.28,0.96,0,0.64,0,0.96,1.92,1.6,0,0,0,0.96,0.64,0.32,116.14
22Month,0,1.09,153.06,0,0,2.19,20.77,1.64,27.88,18.59,21.32,1.64,12.03,0.55,2.19,32.25,46.47,17.49,0,0.55,2.73,0,1.64,0,0.55,0.55,0,0,0.55,1.09,0.55,0,0,0,0,233.42
