stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,7.49,0,1.07,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.32,0.32,0.32,0.32,0.64,0.64,0.32,0.32,0.32,0,0,0,0,0,0.32
