stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,155.12,0,2.14,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,5.35,10.71,0,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,4.8,194.85,9.92,248.92,5.12,0,11140.31,3.84,2.56,116.46,55.35,0.32,108.78,81.91,10.24,117.1,87.99,134.06,294.99,97.9,7.68,0.32,24,45.43,25.28,2.24,19.84,7.36,0,1.6,44.47,0.32,153.26,3.84,1.92,0.96,59.51,107.5,95.02
22Month,3.28,262.39,4.92,136.66,0.55,0,9350.53,12.57,1.64,7.11,171.1,11.48,366.26,225.77,31.16,38.27,37.17,54.12,261.85,197.89,10.93,37.72,75.98,2.19,34.99,0,22.41,95.12,3.28,36.63,80.36,0,7.65,24.6,2.19,1.09,36.63,0,61.23
