stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0,4.16,0,0.32,1.28,0.32,0,1.6,0.64,0.96,1.92,0,0.32,0.96,1.6,0.32,0.32,0,0,0.64,4.16,0.32,0.32,1.28
22Month,0,0.55,0.55,0,0,0,0,0.55,1.64,0,0,1.09,0,0,0.55,0.55,0,0,0,0.55,0,4.37,0,0,0
