stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,0,0,0,1.34,2.68,0,0,2.68,0,0,0,1.34,0,2.68,0,1.34,0,0,2.68,0,0,5.35,1.34,1.34,0,1.34,0,1.34,0,1.34,0,0,5.35
3Month,28.16,0.32,2.24,10.24,0,0,0.32,0.32,67.51,1.28,0.96,0,23.36,2.24,0,8.64,1.28,0.96,0.96,1.6,0.64,0.32,0,0.32,0.32,0.32,2.56,4.48,0,0,0,0.64,2.24,4.48
22Month,0,0,2.73,18.59,0,0,0.55,0,19.68,1.09,1.09,0,37.72,0,7.11,5.47,0,2.19,15.85,1.64,0.55,0,0,0,0.55,0,0,0,0,0.55,0,0,0,1.09
