stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,3.21,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,2.68,1.34,0,5.35,0,0,0,2.68,0,0,0,21.42,0,0,5.35,2.68,0,0,2.68,4.02,0,1.34,0,0,0
3Month,0.32,17.28,0,0.32,10.56,0,8,0.96,1.28,1.6,0.96,0.32,1.6,0,0.32,0.64,0.32,0.32,0,0,0.64,8.64,0.32,0.64,46.39,0
22Month,0,6.56,0,0,35.53,0.55,20.23,1.09,1.09,0.55,0,1.09,1.09,0.55,0,0,0,0,0.55,0,0,7.65,1.09,0,0,0.55
