stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,16.35,0,0,0,0,0,8.17,8.17,0,12.26,1050.21,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,2.14,0,0,0,0,1.07,4.28,1.07,133.72,130.51,0,2.14,0,13.91,1.07,0,1.07,0
21Day,0,1.34,4.02,0,0,1.34,1.34,0,1.34,0,28.11,34.8,1.34,0,1.34,5.35,0,1.34,0,1.34
3Month,0,0.96,0,0,0.96,0,0.32,0.32,0,0,0,0.96,0.32,0,0,0,0,0,0,0
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
