stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,12.26,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,9.63,4.28,0,0,3.21,0,0
21Day,0,0,0,0,0,9.37,1.34,1.34,0,1.34,2.68,1.34
3Month,0,0,0,0.32,0.32,0.32,0,0,0.64,0,0,0
22Month,0.55,0,0,1.64,0,0,0,0,0,0,0,0
