stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,8.17,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,104.84,0,2.14,0,0,0,0,0,0,0,2.14,1.07,0,2.14,0,1.07,17.12,1.07,0,1.07,0,0,0,0,2.14,0,0
21Day,4.02,0,0,2.68,293.14,0,56.22,0,0,0,0,0,0,0,1.34,1.34,0,2.68,0,1.34,6.69,2.68,0,0,1.34,1.34,0,0,2.68,0,0
3Month,0,0.64,0.32,2.56,0,4.8,3.52,0.32,0.96,0.32,4.16,0.64,0,38.39,2.56,0.32,1.28,0,0.64,22.08,0.64,0,0.32,0.64,0,0.64,0.96,0.32,0,0.96,0.96
22Month,0.55,0,0,2.19,0,2.19,5.47,0.55,1.64,0.55,9.29,0,0.55,63.96,0.55,0,1.64,0.55,0,0,0.55,0,0.55,1.09,0,0,0,0,0,0,0
