stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,32.69,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,4.28,16.05,0,0,2.14,0,0
21Day,0,1.34,4.02,0,0,0,0,0,0,0,0,0,1.34,0,25.43,9.37,1.34,0,9.37,2.68,0,1.34,0,0
3Month,0,0.32,8.32,0,0,0.32,0,0,2.56,0.64,0.32,0.32,9.28,0.32,5.12,0.64,0,0,0.64,0,0.32,0,0.64,0.32
22Month,0,0,1.09,1.64,0.55,0.55,0.55,0.55,0,0,0,0,0,0,4.92,5.47,0,0,0,0,0,0,0.55,0
