stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,5.35,0,1.34,1.34,0,0,0,0,2.68,1.34,0,6.69,0,1.34,1.34,0,0,0
3Month,16.96,0.32,0.32,0.96,0.32,1.92,0.64,0.32,0.32,0.32,1.92,1.28,0.32,0,0.32,0,0,0,1.6,0.64,0,0,4.16,0.32,1.28
22Month,0,0,0,0,0,0.55,0,0,0.55,0,4.37,0.55,0,0.55,0,0,0,0,0,1.09,0,0,0,0,1.64
