stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,3.21,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,1.34,0,0,2.68,13.39,0,1.34,1.34,10.71,1.34,0,0,0,1.34,0,0,0,1.34,0,0,22.76
3Month,1.28,0.64,3.52,0,0.32,14.08,0,4.48,19.52,0.64,0.96,0,0.64,9.28,0.96,0.32,0,0.64,0,0,0.96,9.6,0,0.32,10.88,12.16
22Month,1.09,0,2.19,0.55,0.55,41,1.09,9.84,22.96,1.09,0.55,0,0.55,15.31,4.37,0,0.55,0,0,0.55,0,2.73,0,0,0,8.75
