stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,0,0,0,1.07,1.07,0,0,20.33,22.47,0,0,0,0,0
21Day,4.02,4.02,16.06,0,0,1.34,1.34,0,2.68,1.34,9.37,195.43,212.83,9.37,12.05,1.34,1.34,1.34
3Month,0,0.32,0,0,0,0,0.32,0,0,0,0.32,0.64,1.92,0,0,0,0,0
22Month,0,0,0,0,3.28,0,0,0,0,0,0,1.09,2.73,0,0.55,0,0,0
