stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell
21Day,0,0,0,0,1.34,0,1.34,9.37,1.34
3Month,0,0,0,0.32,0,0.32,0,0.32,0
22Month,0.55,1.09,3.83,1.64,0,0.55,0,1.09,0
