stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,57.21,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,1.07,0,0,0,0,0,3.21,0,2.14,0,0,7.49,1.07,0,205.4,0,0,2.14,0,0
21Day,0,0,14.72,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,66.93,0,1.34,0,0,0
3Month,0,0.64,5.76,0.32,0.64,0.32,0,2.24,0.64,1.6,0.64,1.28,0.64,6.4,0.64,0.96,0.32,0,0,0,0.32,80.63,0,13.44,0.64
22Month,0,0,0.55,0.55,0,0,0,1.64,0,0,0,0.55,0.55,0.55,0,0,0.55,0,0.55,0,0,9.84,0,0,0
