stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,0,0,10.71,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,2.56,0.32,28.48,0,0.32,15.36,0.64,0.64,38.07,5.12,0.32,13.44,0.64,17.92,5.12,10.56,0.96,0,12.8,0.32,0,2.24,0,0.32,14.4,0,0,0.32,0.32,6.4,2.56
22Month,2.73,1.64,32.8,0.55,0,6.56,10.93,0.55,72.71,14.76,2.19,8.75,1.09,17.49,15.31,80.36,2.19,3.83,5.47,0.55,4.37,2.73,0.55,0,28.43,0.55,0.55,0,0,0,2.19
