stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,187.97,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,1.07,0,0,1.07,1.07,5.35,0,0,0,10.7,19.26,0,4.28,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,5.35,0,22.76,0,1.34,0,6.69,2.68,0,6.69,0,0,1.34,4.02,0,0,0
3Month,0.32,0.32,1.6,0,0.64,0.32,0,2.88,1.92,0.32,0.96,0.32,0.64,0.96,1.92,0,0.32,0.64,0.32,0,0.32,0,68.15,0.32,0,0,0.32,6.08,0.96
22Month,0,0,0.55,0,0,0,0.55,13.12,0,1.09,0,0,0.55,0.55,4.92,1.09,0,0,0,0,1.64,0,3.28,0.55,0,0,1.09,0,0
