stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,833.63,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,155.28,16.35,0,0,0,0,8.17,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,210.75,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,1.07,7.49,1.07,0,0,0,3.21,11.77,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,80.31,0,8.03,4.02,0,0,0,1.34,0,0,0,1.34,12.05,0,0,4.02,8.03,8.03,0,0,0,0,8.03,5.35,1.34,0,2.68,0,0,0,1.34,0,2.68,0,0,16.06
3Month,0,141.74,0.96,10.56,0,0.32,0,0.32,1.92,4.48,0,73.27,17.6,1.92,6.72,2.88,5.12,44.15,6.4,0.96,0.64,2.24,1.92,0.96,0,0,0.32,0,3.84,0.32,51.19,0,0.64,0,4.8,22.08,8.32
22Month,0,166.73,2.19,7.65,0,1.09,0,0,2.19,4.37,6.56,224.13,3.28,2.73,10.39,0,1.09,9.29,10.39,0.55,6.01,2.19,0.55,2.19,0.55,1.09,1.09,0,0.55,0,13.67,0.55,1.64,0,1.64,0,4.37
