stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,5.35,0,1.07,0,4.28,6.42,2.14,0,0,1.07,8.56,20.33,0,0
21Day,0,0,4.02,1.34,1.34,0,0,1.34,1.34,0,0,0,0,4.02,0,5.35,0,0,0,6.69,0,1.34,1.34,0,1.34,62.91,294.48,0,1.34
3Month,0,0.32,2.24,0,0,0.32,0.64,0,1.28,0,0.32,0.64,0.32,2.24,0.32,0.32,0.64,0,0.32,1.6,0.32,0,0,7.36,0,0,0,4.16,0
22Month,0,0,9.29,0,0,0,1.64,3.28,28.43,1.09,0,2.73,0,1.09,0.55,5.47,0,1.09,0,0,0,0.55,0,4.92,0,0,0,0,0
