stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,4.09,0,0,0,4.09,4.09,0,8.17,0,0,65.38,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,6.42,7.49,0,0,0,0,0,0
21Day,1.34,0,2.68,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,5.35,0,1.34,0,0,0,0
3Month,0.32,0.32,0,0,0.32,0,0,12.8,0,0,0,0.32,0,0,0.32,0,0,0.32,0,0.32,0.96,0.96,0.64
22Month,0,0,0.55,0,1.64,0.55,0,2.73,0.55,0,0,0,0.55,0,0.55,0,0,0,0,0,0.55,0,0.55
