stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,8.17,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,0,0,0,5.35,12.84,0,4.28,0,0,0,5.35,3.21,0,0,1.07,0,0,2.14,0,0,0,0
21Day,1.34,0,45.51,0,0,0,0,0,0,0,2.68,4.02,1.34,20.08,0,0,0,1.34,0,4.02,0,0,0,0,0,0,1.34,2.68,0,0,0
3Month,1.28,0.96,15.68,0.32,0.32,3.52,1.6,0,7.04,0.96,0,12.16,0.32,3.52,3.2,1.6,0,3.84,0.32,0,0.32,0.32,0.32,0.32,0.32,1.28,0.32,0,1.6,1.6,2.24
22Month,1.64,0.55,6.56,0,0.55,2.73,1.64,1.64,24.05,1.09,0,21.87,2.19,1.09,1.64,2.73,1.09,1.09,0.55,0,0,0,0,0,0,3.28,0,0,0.55,0,1.64
