stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.32,1.28,0.64,0.32,0,1.92,1.28,2.24,0.64,0.64,1.28,0.64,0.64,1.6,0,0,33.59,0.32,7.68,12.8
22Month,0.55,0.55,0,0,0.55,2.73,0,0.55,0.55,0,3.28,0,0,0,0.55,0.55,6.01,0,0,13.67
