stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,3.21,92,1.07,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0,1.07,0,0,3.21,0,0,0
21Day,4.02,0,26.77,24.09,21.42,0,6.69,0,0,0,0,5.35,0,8.03,558.17,0,12.05,5.35,24.09,0,0,2.68,2.68,45.51,12.05,1.34,1.34,0,10.71,12.05,4.02,2.68,4.02,0,0,0,4.02
3Month,0.96,6.4,28.48,82.55,0,16.32,1.28,0.32,52.47,28.8,0,141.1,32.31,0.64,5943.7,10.24,25.28,22.72,31.04,9.6,0.64,11.84,10.88,6.08,0.64,9.6,4.8,0,1.6,35.83,90.55,1.28,0.32,0.32,10.56,26.88,27.52
22Month,1.09,5.47,28.43,16.4,0,2.73,0,0,73.8,18.04,4.92,136.12,5.47,1.09,4924.27,0,2.19,14.21,16.95,0.55,4.92,4.37,0,1.09,0,14.76,6.01,0.55,3.28,5.47,56.31,1.64,0.55,0,0,0,9.29
