stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,16.35,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,67.4,1.07,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,10.71,1.34,0,0,0,0
3Month,0,1.28,0,0.96,0.32,0,0,0.96,0,0,0,0,0,1.28,0,0,0.32,0.64,0.64,0.32
22Month,0.55,0.55,0,0,0,1.09,0.55,6.01,0.55,0.55,1.09,0,1.64,0,0,0,0,1.64,0,0
