stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,0,0,1.07
21Day,1.34,1.34,0,0,1.34,0,0
22Month,0,0.55,1.09,2.19,0,1.09,0
