stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,8.17,0,4.09,0,0,0,0,0
72hpf,1.07,0,5.35,1.07,2.14,0,0,1.07
21Day,1.34,2.68,2.68,1.34,1.34,4.02,1.34,0
