stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,65.26,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,0,2.14,0,0,0
21Day,313.22,5.35,6.69,1.34,0,1.34,1.34,4.02,2.68,13.39,2.68,1.34,8.03,0,0,1.34,5.35,1.34
3Month,0.64,0,0,0.32,0.32,0,0,0.96,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0,0,1.64,0,1.09,0,0,0,0,0,0,0.55,0,0,0,0
