stage,Cardiomyocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0,12.26,0
72hpf,0,0,1.07,1.07,0,1.07,1.07,1.07
21Day,1.34,0,2.68,0,1.34,1.34,0,0
22Month,0,0.55,0,0,0,0,0,0
