stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,2.14,0,1.07,0,0,1.07,1.07,1.07,0,36.37,3.21,0,1.07,0,1.07
21Day,0,0,0,0,0,0,0,0,1.34,12.05,1.34,1.34,0,2.68,0
22Month,0.55,0.55,0,1.64,0.55,0,0,0,0,0,0,0,0,0,0
