stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,9.63,8.56,0,0,2.14,0,0,2.14,0,0,0
21Day,1.34,0,0,13.39,0,0,0,0,1.34,0,0,0,2.68,1.34,0,2.68,0,10.71,0,0,1.34,0,5.35,10.71,1.34,0,4.02,2.68,0,1.34,0,0,14.72
3Month,0.32,2.24,0,8.96,0,0,0.32,1.6,2.56,0,8.64,1.28,0.64,2.88,1.6,3.84,1.92,3.84,0.96,0,3.2,0,1.6,0.32,0.96,0.64,0,0,0.64,0,0.32,0.96,8.32
22Month,0,4.37,0.55,12.57,0.55,0.55,0,2.73,9.29,0.55,34.99,4.37,6.56,27.88,0.55,1.64,10.93,5.47,0,0.55,2.19,0.55,0,0,0.55,2.19,1.09,0,2.19,0.55,0,1.09,9.29
