stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,2.14,0,0,0
21Day,20.08,0,5.35,6.69,2.68,0
3Month,1.28,0.64,1.28,0.32,1.92,0.32
22Month,0,0.55,0,0,0,0
