stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,0,0,2.68,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0,1.92,0.32,0,0,0,0,0.96,0,0,1.28,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0.64,0,0,0.32,0.32
22Month,1.64,0.55,2.19,0.55,0.55,2.19,3.83,1542.11,77.08,1.09,0.55,16.4,0.55,1.64,6.56,4.37,0.55,0.55,1.09,0,0.55,0.55,1.64,0.55,0.55,0,0.55,1.09,0,2.73
