stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,16.35,24.52,20.43,0,0,8.17,114.42,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,9.63,1.07,0,1.07,0,0,0,0,0,2.14,0,0,23.54,0,8.56,0,1.07,7.49,29.95,0,7.49,0,0,5.35,0,0,0,0
21Day,6.69,1.34,0,24.09,6.69,0,4.02,0,1.34,0,0,1.34,16.06,0,4.02,29.45,6.69,13.39,2.68,0,2.68,6.69,1.34,5.35,0,0,2.68,4.02,0,0,9.37
3Month,0,0,0.32,5.12,0,0,0.32,0.64,1.28,0,12.8,2.56,0.32,2.56,0.96,2.88,1.6,1.92,0.96,0.64,0.32,0.32,0,0,0.64,0.64,0,0,0.64,0.64,3.52
22Month,0,1.64,0.55,3.28,0,0.55,0,0.55,10.39,2.19,34.44,6.56,0,3.83,0,0,3.28,2.19,0,0,0.55,0,0,0,0,1.09,0.55,0,0,0,0.55
