stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,114.42,0,0,0,0,0,0,0
72hpf,0,1.07,12.84,2.14,0,0,0,0,0,0,0,5.35,11.77,1.07,8.56,0,0,0,39.58,27.81,2.14,5.35,0,2.14,0,0,0
21Day,1.34,0,29.45,2.68,2.68,0,0,0,0,5.35,1.34,1.34,10.71,0,6.69,0,1.34,0,5.35,8.03,0,5.35,0,0,2.68,0,0
3Month,0,0.32,1.6,0,0.32,1.6,0,2.24,0.64,0,0.96,0.32,0.32,0.32,0,0,0,0.32,0,0,0,0,5.12,0,0,1.6,0.96
22Month,0,0,0,0,0,0.55,1.09,3.28,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
