stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,4.09,0,0,0,0,12.26,57.21,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,1.07,9.63,0,2.14,0,0,0,0,21.4,11.77,0,3.21,0,0,1.07,0,0,1.07,0,0,0
21Day,4.02,0,0,9.37,1.34,10.71,10.71,0,1.34,0,5.35,0,4.02,2.68,4.02,4.02,0,16.06,0,1.34,2.68,0,33.46,14.72,0,8.03,1.34,0,2.68,4.02,9.37,1.34,0,0,2.68
3Month,0,0.64,0.32,6.72,0,0,0,1.6,0.32,0,16.32,0.32,0.32,8,0.32,1.6,1.28,0.96,0.32,0,0.64,1.92,0.32,0.32,0.32,0,0.64,3.2,0,0,0,0,1.6,0.96,0.32
22Month,0,0,0,1.64,0.55,0,0,1.09,1.09,0.55,27.33,0,0,4.92,0,1.09,1.09,0.55,0,0,0.55,0,0.55,0,0,0,0,1.09,1.09,1.09,0,0,0,0,1.09
