stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,6.4,0,0,0.32,0.64,3.2,0,1.28,1.6,0.64,1.28,0.32,0.32,0,0.64,2.24,0,0.64,0,0.32,0.32,1.6,0.64,140.46
22Month,0,3.28,0.55,0.55,0,0,4.37,0.55,1.09,0,0,0,0,0,1.09,0,0,0.55,0.55,0,0,0,2.19,0,0
