stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,2.14,1.07,0,0,0,0,0,0,0,3.21,0,2.14,0,262.1,3.21,0,1.07,0,1.07,1.07,1.07,0
21Day,1.34,0,4.02,8.03,1.34,0,0,1.34,1.34,1.34,0,0,12.05,0,139.21,2.68,2.68,1.34,1.34,0,1.34,0,1.34
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.55,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
