stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,4.09,0,0,0,0
72hpf,1.07,5.35,0,2.14,1.07,1.07,1.07
21Day,0,4.02,0,0,0,0,2.68
3Month,0,0.32,0,0.32,0,0,0
