stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,10.71,1.34,0,1.34,0,0,0,0,28.11,0,0,1.34,2.68,0,0,0,4.02,1.34,0,0,0,0,0,56.22
3Month,0,0.32,11.84,0,0.64,0,0,1.28,3.52,1.92,5.76,2.24,2.56,9.28,1.92,0.32,0.64,0.32,0.32,0,0.32,1.6,1.92,0.96,0.64,90.23
22Month,0,0,1.64,0,0,0,1.09,0.55,0.55,0,0.55,0.55,0.55,1.09,0.55,0,0.55,0,0.55,0,0,0,0,0,0,7.65
