stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,0,0,0,0,0,4.28,1.07,98.42,10.7,0,0,5.35,0,0
21Day,0,1.34,1.34,0,1.34,1.34,0,2.68,1.34,14.72,4.02,64.25,4.02,0,1.34,4.02,2.68,1.34
3Month,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0
