stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,4.28,0,8.56,4.28,2.14,0
21Day,1.34,0,2.68,0,1.34,0,0,1.34,0,0,1.34,4.02,1.34,6.69,1.34,2.68,1.34
3Month,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0.55,0,0,0,0.55,0,12.57,0.55,0.55,0,0.55,3.28,0.55,0,0,0
