stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
21Day,0,0,0,1.34,0,1.34,4.02,0
3Month,0.32,0.96,0.32,0,1.28,0,0,18.88
