stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,21.4,32.09,16.05,12.84,0,0,5.35,9.63,16.05,10.7,0,0
21Day,10.71,0,0,16.06,0,12.05,0,0,4.02,0,4.02,0,8.03,9.37,25.43,0,1.34,0,25.43,26.77,85.67,45.51,8.03,0,9.37,222.2,627.77,116.45,0,2.68
3Month,0,0.32,0.32,2.56,3.52,0,0.64,0,3.52,2.56,1.28,0.32,0,0,2.88,0.32,0.64,18.56,0.96,0.64,80.95,0.32,0,1.28,0,1.28,0.64,2.24,0.32,1.28
22Month,0,1.09,0,1.64,0,0,2.19,1.09,59.04,0,3.28,0,0,2.73,3.83,0,0,1.64,0.55,1.09,87.46,0,0,2.19,0,59.04,0,0.55,0,0.55
