stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,9.37,0,0,0,6.69,0,0
3Month,0.32,0.96,0.96,2.56,0.96,1.28,0.32,0,0.32,0.64,0.64,0.32,0.32,0.64,118.38,1.28,82.87
22Month,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,20.23,0,0
