stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,81.3,7.49,0,2.14,0,0,0,60.98,57.77,0
21Day,1.34,2.68,6.69,0,4.02,0,1.34,0,0,1.34,0,1.34,0,4.02,1.34,12.05,0,0,14.72,5.35,1.34,4.02,2.68,0,0,141.88,216.84,1.34
3Month,0,0,0.96,0,0,0,0,0,0,0.32,0,0,0.64,0.32,0,3.2,0.32,0,7.04,0,0,0,0.32,0.96,0,0,0,0
22Month,0,0.55,2.73,0.55,0,1.09,0,3.28,0.55,10.39,1.09,0.55,0.55,0,0.55,26.79,0,0.55,5.47,0,1.09,0,0,0.55,0.55,118.08,0,0.55
