stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.61,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,6.69,0,0,0,0,0,0,0,2.68,0,0,1.34,1.34,4.02,32.12,0,0,0,0,52.2,0,0,0,0,2.68,0,0,1.34,0,0,0,0,1.34
3Month,0.32,2.24,1.6,39.03,0.32,0,0,0.32,7.36,4.8,0.64,8,1.6,0.32,20.16,4.16,12.16,103.98,3.84,0,4.16,3.84,3.84,0,8,4.8,0.32,1.28,20.8,1.92,0.32,0.32,0.96,2.56,3.52,17.92
22Month,0,5.47,1.09,16.4,1.09,0,0.55,0,6.01,1.09,2.19,21.32,0.55,2.19,14.76,0,2.73,33.89,3.83,0.55,4.37,0.55,2.19,0,6.56,2.73,0,0,19.13,6.01,3.83,0,0,0.55,0.55,3.83
