stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,1.34,2.68,1.34,0,0,1.34,9.37,0,1.34,0,0,1.34,0,0
3Month,0,8.96,0,0.32,1.28,0.32,0.96,0.64,0.32,0,0,0.32,7.68,0.32
