stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,1.07,0,0,0,6.42,0,0,0,0,0,2.14,3.21,9.63,4.28,0,1.07,0,0,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,4.02,0,1.34,0,5.35,0,0,0,1.34,0,0,6.69,20.08,18.74,0,0,4.02,0,1.34,0,0,0,0,6.69,1.34,0,0,0,0,0
3Month,0,2.56,8.32,0.64,0,2.24,155.18,0,5.44,3.2,0,2.24,0,3.84,24,14.72,1.6,0,0.96,1.92,0.32,0,0.64,0.64,0,0,1.6,3.2,0.32,0.96,57.27,1.6
22Month,0,4.37,6.01,1.64,0,1.64,209.37,1.09,94.02,1.09,0.55,3.28,0,0.55,41.55,21.87,0,2.19,1.09,0.55,0,0.55,3.28,0,2.73,1.64,0.55,1.09,2.19,1.09,0,1.64
