stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,0,0,0,0,12.26,0,8.17,0,0,0,0,0,0,196.15,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,12.84,1.07,0,1.07,0,2.14,0,0,0,0,7.49,0,1.07,32.09,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,0,2.14
21Day,0,28.11,1.34,0,0,0,5.35,0,0,0,0,14.72,0,1.34,40.16,5.35,2.68,0,0,0,0,0,2.68,0,0,1.34,0,0,8.03
3Month,0,39.99,0,0.32,0.32,0.64,38.07,0,0,4.8,189.73,1.6,0.96,2.24,38.71,14.4,0.96,0.32,0.32,0.32,0.32,0,2.56,0.64,0.32,0,0.64,0.96,9.92
22Month,0.55,3.28,0,0.55,0,0.55,12.03,0.55,0,3.83,25.15,1.64,0.55,0,2.19,5.47,0,0,0.55,0,0,0,0,0,0,0,0,0,8.2
