stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0,7.04,0.32,0.64,1.92,0.64,0.64,1.28,2.24,0.32,0.64,0.32,0.64,0.96,0.64,0.32,2.24
