stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,1.07,0,1.07,0,5.35,2.14,1.07,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,1.34,0,1.34,1.34,0,6.69,1.34,0,1.34,2.68,0
3Month,0,0,0.32,0,0,1.6,0.64,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,2.19,0,0.55,7.65,0,0.55,0,1.09,1.64,0.55,0.55,0,0,0,0,0,0.55
