stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Smooth_muscle_cell,Spermatocyte
3Month,1.28,0.32,0.96,0.64,0.32,0.32,0.32,0.32,0.32,21.44
22Month,0,0,1.64,0,0,0,0,0,0,0
