stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,20.43,4.09,85.81,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,2.14,3.21,5.35,36.37,19.26,1.07,3.21,0,2.14,0,0,0
21Day,0,6.69,4.02,0,0,0,0,0,2.68,10.71,2.68,0,2.68,0,0,0,0,1.34
3Month,0.32,2.56,0,0.64,0.64,0.32,0,0.64,1.28,0,0.32,0,0,1.92,0,0.32,1.28,0.32
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
