stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,9.63,0,1.07,0,1.07,0,0,0,1.07,0,0,0,3.21,0,17.12,0,0,0,14.98,7.49,0,0,0,68.47,0,1.07,0,1.07,0,0,0,0
21Day,2.68,10.71,0,16.06,0,2.68,0,0,0,0,0,0,5.35,2.68,4.02,84.33,0,9.37,0,5.35,2.68,1.34,0,0,12.05,0,0,1.34,0,0,0,0,1.34
3Month,0,29.44,0,16,0.32,0,0.32,1.28,0.32,0,5.44,1.6,9.92,3.2,1.28,14.72,0,0.32,0.32,0.32,0,2.56,0.64,0,0,0.32,3.84,0.32,0,0.32,0.64,0.64,1.6
22Month,0.55,15.85,0.55,6.56,0,0,0,1.09,0.55,42.09,25.15,1.09,3.28,0,1.64,4.92,0.55,0.55,0,0,0.55,4.92,0,0.55,0,0.55,1.09,0,0,0,0,0,0.55
