stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0,2.14,4.28,0,0,0,0,2.14,2.14,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,2.68,0,0,0,0,0,0,0,0,0,0,2.68,9.37,0,0,8.03,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.64,4.8,0.64,2.56,0.32,3.2,0.32,0.96,0,6.72,1.92,3.84,0.64,1.6,2.56,24.32,1.6,0,2.24,0.32,0,0.32,0,0,0.96,0.64,0,0,1.28,2.56,1.28,2.56
22Month,0.55,4.37,1.09,3.28,0,0,0,7.65,4.37,32.8,0.55,3.83,0,1.09,5.47,15.31,0,1.64,3.83,0,1.09,0.55,0.55,0,0,0,0.55,0,0,1.09,0,4.37
