stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,40.86,0,4.09,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,8.56,1.07,3.21,0,0,0,0,0,0,0,0,0,1.07,36.37,1.07,6.42,1.07,0,0,765.97,16.05,0,4.28,0,11.77,0,0,2.14,3.21,0,6.42,0,0
21Day,12.05,0,0,36.14,4.02,30.79,0,1.34,0,1.34,0,5.35,1.34,5.35,2.68,8.03,40.16,1.34,17.4,0,6.69,0,784.38,14.72,1.34,1.34,0,12.05,25.43,0,5.35,8.03,20.08,1.34,0,6.69
3Month,0,0,0.32,8.32,0,0,0,0.32,0,0.64,0,5.44,0.32,0.32,1.28,1.6,0.96,1.28,1.28,0,0,0.64,6.72,0,0,0,0,0,0.32,6.4,0.32,0,0,0,0.96,1.28
22Month,0,0,0,7.11,0,0,0.55,0.55,0.55,2.19,0,42.09,1.64,2.19,2.19,0,0.55,2.19,3.83,1.09,0,0,6.56,0,1.09,1.64,0.55,0.55,1.09,11.48,2.73,0.55,0,0,0,1.09
