stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,12.26,0,0,0,8.17,0,8.17,0,8.17,0,0,0
72hpf,3.21,1.07,0,0,1.07,3.21,0,0,0,0,0,1.07,0
21Day,9.37,4.02,0,1.34,0,1.34,0,2.68,0,1.34,0,2.68,0
3Month,0,0.32,1.6,0,0,0,0.32,0,0.32,0,0,0,0
22Month,0,0,6.01,0,0.55,0,1.09,0,0,0.55,0.55,0,0.55
