stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,3.21,3.21,0,0,0,5.35,1.07,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,1.34,0,1.34,0,2.68,4.02,0,1.34,0,6.69,1.34,0,0,5.35,1.34,0,0,0,0,0
3Month,0.32,0,0,4.16,0,0.64,2.24,0,13.44,5.44,0,3.2,0.96,0.96,2.56,1.6,0.64,0.96,0.96,0,0,0.64,0,0.32,0.32,2.88,0,0.64,0.64,0.96
22Month,0,0.55,0.55,1.64,0,0.55,4.92,1.09,13.12,0,0,0.55,0,0.55,1.09,0.55,0,1.09,0,0,0,0.55,0.55,0,0,0.55,0,0,0,0.55
