stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,12.26,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,0,17.12,0,5.35,0,1.07,0,0,3.21,8.56,0,0,2.14,0,0,1.07,0,0,0
21Day,2.68,1.34,0,20.08,0,1.34,1.34,0,0,1.34,0,2.68,1.34,2.68,13.39,1.34,1.34,0,0,2.68,0,2.68,0,0,0,1.34,2.68,0,2.68,0,0,1.34
3Month,0,2.24,0.32,31.04,0,0.96,2.56,20.48,0,13.76,2.56,1.28,6.72,1.92,27.52,6.72,4.48,0.64,0,0.32,0.96,0,0,1.28,0,0.32,1.92,10.56,0,2.24,19.84,10.56
22Month,0,1.09,0.55,4.37,1.09,1.09,1.64,55.76,3.28,27.88,2.19,2.73,5.47,0,12.57,12.57,4.92,0,1.09,0.55,0,0.55,0,0.55,1.09,0.55,0,2.19,0.55,0,0.55,7.65
