stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,81.73,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0
21Day,0,0,0,24.09,0,4.02,0,0,1.34,0,0,0,1.34,1.34,4.02,0,0,0,0,2.68,0,0,0,1.34,0,0,0,2.68,0,0,0
3Month,0,0,0.32,15.04,0.32,39.03,0.64,0,4.8,0.32,0,1.92,1.92,0.32,2.88,2.24,0,0.64,0.64,0.32,0,0.32,0.32,0.32,2.88,0.32,0.32,0,0.64,0.32,0
22Month,1.09,0.55,0,4.37,0,9.29,0.55,0,12.57,1.09,0.55,1.64,0,1.09,2.19,0,0.55,1.09,0,0,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09
