stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,3.21,3.21,0,2.14,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,0,4.02,0,1.34,1.34,0,1.34,0,0,0,0,2.68,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,2.88,0,0,0.96,0.96,0,0,37.75,0.64,0,3.2,0,0.96,0.32,1.28,0.32,0.64,0.96,0,0,0.32,0.32,0.64,0.96,0.64,0.64,1.28
22Month,0,1.09,0.55,2.19,0,0.55,0.55,0.55,0.55,0,73.25,0.55,0,3.83,0.55,0,0,3.28,0,1.09,0,0,0,0,0,0,0,0,0,0.55
