stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.21,0,1.07,0,0,0,0,0
21Day,0,0,32.12,0,0,0,0,0,0,0,0,5.35,0,2.68,0,8.03,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.32,3.52,4.8,0.32,0,0.96,0,0,2.56,0,0.32,0.96,0.32,0,0,0,0,1.92,0,0.96,0,0,0.32,0.64
22Month,2.73,1.64,25.69,1.09,2.73,1.64,38.81,0.55,0.55,9.29,0,1.64,0.55,1.64,7.65,0,0,0,0,0,0,0.55,0.55,0,0
