stage,Granulocyte,Hepatocyte,Immune_cell,Neural_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell
72hpf,0,0,0,1.07,0,1.07
22Month,0.55,1.64,0.55,0,0.55,0
